timestamp_s,x,y,z,qx,qy,qz,qw
1773244215.207087,-0.000017,-0.000043,0.139762,-0.001865,-0.000075,0.000119,0.999998
1773244215.239143,0.000062,-0.000091,0.139669,-0.000521,-0.000014,0.000039,1.000000
1773244215.272991,0.000031,-0.000049,0.139706,0.000048,-0.000051,-0.000015,1.000000
1773244215.307081,0.000031,-0.000049,0.139706,0.000048,-0.000051,-0.000015,1.000000
1773244215.339151,-0.000008,-0.000088,0.139751,0.000293,-0.000082,-0.000043,1.000000
1773244215.372517,-0.000014,0.000115,0.139697,-0.000606,-0.000089,0.000012,1.000000
1773244215.411346,0.000036,-0.000148,0.139646,0.000102,-0.000054,-0.000031,1.000000
1773244215.439364,0.000049,-0.000046,0.139574,-0.000151,-0.000080,-0.000020,1.000000
1773244215.475027,0.000028,0.000014,0.139627,-0.000486,-0.000120,-0.000006,1.000000
1773244215.508249,0.000042,-0.000077,0.139716,-0.001759,-0.000118,0.000082,0.999998
1773244215.539181,0.000042,-0.000077,0.139716,-0.001759,-0.000118,0.000082,0.999998
1773244215.572410,0.000054,0.000013,0.139656,-0.002052,-0.000166,0.000094,0.999998
1773244215.607208,0.000056,-0.000135,0.139775,-0.001436,-0.000155,0.000054,0.999999
1773244215.639915,0.000041,-0.000023,0.139762,-0.002124,-0.000166,0.000100,0.999998
1773244215.672517,0.000077,-0.000071,0.139636,-0.001822,-0.000167,0.000079,0.999998
1773244215.707137,0.000077,-0.000071,0.139636,-0.001822,-0.000167,0.000079,0.999998
1773244215.739136,0.000032,-0.000036,0.139664,-0.001520,-0.000151,0.000062,0.999999
1773244215.772467,0.000069,-0.000062,0.139662,-0.001184,-0.000152,0.000033,0.999999
1773244215.806898,0.000037,0.000038,0.139716,-0.000815,-0.000120,0.000013,1.000000
1773244215.839122,0.000037,0.000038,0.139716,-0.000815,-0.000120,0.000013,1.000000
1773244215.872535,0.000070,-0.000080,0.139750,-0.000611,-0.000161,-0.000009,1.000000
1773244215.906285,0.000022,-0.000129,0.139585,0.000141,-0.000157,-0.000063,1.000000
1773244215.939198,-0.000027,0.000134,0.139762,-0.000351,-0.000135,-0.000028,1.000000
1773244215.972501,-0.000027,0.000134,0.139762,-0.000351,-0.000135,-0.000028,1.000000
1773244216.007134,0.000091,-0.000123,0.139527,-0.002315,-0.000151,0.000109,0.999997
1773244216.039181,0.000091,-0.000123,0.139527,-0.002315,-0.000151,0.000109,0.999997
1773244216.072504,0.000236,-0.000133,0.139425,-0.002053,-0.000186,0.000083,0.999998
1773244216.107109,0.000045,-0.000180,0.139680,-0.002802,-0.000231,0.000126,0.999996
1773244216.139172,0.000045,-0.000180,0.139680,-0.002802,-0.000231,0.000126,0.999996
1773244216.172727,0.000092,0.000075,0.139789,-0.002059,-0.000447,0.000024,0.999998
1773244216.207298,0.000069,-0.000285,0.139756,-0.001704,-0.000670,-0.000052,0.999998
1773244216.239719,0.000225,-0.000025,0.139618,-0.002076,-0.000740,-0.000072,0.999998
